end_id=168174082_11642; time_start=1375461259; count=1000; groups_num=280; users_num=0; items_num=935
end_id=-25232578_910604; time_start=1375461324; count=1000; groups_num=162; users_num=0; items_num=908
end_id=20396887_12463; time_start=1375461366; count=1000; groups_num=179; users_num=0; items_num=902
end_id=85517704_4107; time_start=1375461419; count=1000; groups_num=278; users_num=0; items_num=938
end_id=170365035_2783; time_start=1375461462; count=1000; groups_num=159; users_num=0; items_num=911
end_id=118583222_1630; time_start=1375461498; count=1000; groups_num=183; users_num=0; items_num=902
end_id=-54869786_3623; time_start=1375461542; count=1000; groups_num=278; users_num=0; items_num=938
end_id=137088605_779; time_start=1375461589; count=1000; groups_num=158; users_num=0; items_num=909
end_id=87883457_2810; time_start=1375461622; count=1000; groups_num=185; users_num=0; items_num=907
end_id=582643_162; time_start=1375461669; count=1000; groups_num=276; users_num=0; items_num=938
end_id=126555827_1659; time_start=1375461711; count=1000; groups_num=167; users_num=0; items_num=927
end_id=-46076310_207012; time_start=1375461748; count=1000; groups_num=183; users_num=0; items_num=896
end_id=2147413_1185; time_start=1375461786; count=1000; groups_num=275; users_num=0; items_num=938
end_id=143642288_27437; time_start=1375461842; count=1000; groups_num=167; users_num=0; items_num=927
end_id=-55156099_60367; time_start=1375461876; count=1000; groups_num=183; users_num=0; items_num=897
end_id=-54869786_3627; time_start=1375461927; count=1000; groups_num=274; users_num=0; items_num=936
end_id=138664407_1291; time_start=1375461974; count=1000; groups_num=160; users_num=0; items_num=909
end_id=218257475_35; time_start=1375462025; count=1000; groups_num=187; users_num=0; items_num=917
end_id=13470634_271; time_start=1375462077; count=1000; groups_num=271; users_num=0; items_num=936
end_id=99918483_1069; time_start=1375462118; count=1000; groups_num=161; users_num=0; items_num=925
end_id=178040263_885; time_start=1375462158; count=1000; groups_num=185; users_num=0; items_num=889
end_id=-52162252_55; time_start=1375462202; count=1000; groups_num=272; users_num=0; items_num=936
end_id=-15177756_2419849; time_start=1375462260; count=1000; groups_num=163; users_num=0; items_num=927
end_id=-56075725_63526; time_start=1375462306; count=1000; groups_num=183; users_num=0; items_num=887
end_id=147678529_81; time_start=1375462346; count=1000; groups_num=274; users_num=0; items_num=936
end_id=38525246_524; time_start=1375462396; count=1000; groups_num=160; users_num=0; items_num=925
end_id=12145434_797; time_start=1375462438; count=1000; groups_num=190; users_num=0; items_num=888
end_id=-23548042_95394; time_start=1375462489; count=1000; groups_num=271; users_num=0; items_num=936
end_id=-25232578_910651; time_start=1375462552; count=1000; groups_num=162; users_num=0; items_num=924
end_id=-48455305_33520; time_start=1375462600; count=1000; groups_num=192; users_num=0; items_num=903
end_id=-23548042_95394; time_start=1375462637; count=1000; groups_num=272; users_num=0; items_num=936
end_id=-54691050_220; time_start=1375462707; count=1000; groups_num=157; users_num=0; items_num=925
end_id=-39181412_1840; time_start=1375462741; count=1000; groups_num=191; users_num=0; items_num=902
end_id=155392530_264; time_start=1375462790; count=1000; groups_num=272; users_num=0; items_num=937
end_id=-33044743_30566; time_start=1375462835; count=1000; groups_num=148; users_num=0; items_num=924
end_id=163747332_599; time_start=1375462884; count=1000; groups_num=193; users_num=0; items_num=901
end_id=-11575546_5723; time_start=1375462928; count=1000; groups_num=311; users_num=0; items_num=877
end_id=-53981332_3085; time_start=1375462992; count=1000; groups_num=332; users_num=0; items_num=814
end_id=-27327576_11023; time_start=1375463087; count=1000; groups_num=268; users_num=0; items_num=936
end_id=363497_32358; time_start=1375463135; count=1000; groups_num=138; users_num=0; items_num=913
end_id=-33424338_3849; time_start=1375463185; count=1000; groups_num=189; users_num=0; items_num=901
end_id=-11575546_5723; time_start=1375463220; count=1000; groups_num=311; users_num=0; items_num=877
end_id=-43762426_72; time_start=1375463289; count=1000; groups_num=339; users_num=0; items_num=789
end_id=30917239_1882; time_start=1375463399; count=1000; groups_num=267; users_num=0; items_num=936
end_id=-28210851_187765; time_start=1375463453; count=1000; groups_num=144; users_num=0; items_num=925
end_id=142144182_926; time_start=1375463501; count=1000; groups_num=184; users_num=0; items_num=901
end_id=-50957736_1152; time_start=1375463555; count=1000; groups_num=313; users_num=0; items_num=877
end_id=89978101_1643; time_start=1375463603; count=1000; groups_num=393; users_num=0; items_num=952
end_id=-24701002_42778; time_start=1375463705; count=1000; groups_num=270; users_num=0; items_num=936
end_id=-41492857_38152; time_start=1375463772; count=1000; groups_num=149; users_num=0; items_num=909
end_id=145387897_931; time_start=1375463811; count=1000; groups_num=182; users_num=0; items_num=882
end_id=-50957736_1152; time_start=1375463853; count=1000; groups_num=313; users_num=0; items_num=877
end_id=-46560655_481; time_start=1375463918; count=1000; groups_num=392; users_num=0; items_num=956
end_id=-1739415_3017; time_start=1375464009; count=1000; groups_num=266; users_num=0; items_num=937
end_id=10337497_1695; time_start=1375464052; count=1000; groups_num=148; users_num=0; items_num=910
end_id=-44571693_1382; time_start=1375464088; count=1000; groups_num=191; users_num=0; items_num=897
word=zoiberg; end_id=41820846_32; time_start=1375466399; count=1000; groups_num=182; users_num=0; items_num=878
word=путин; end_id=-40316705_250884; time_start=1375466425; count=1000; groups_num=133; users_num=0; items_num=919
word=#франция; end_id=-54194548_277; time_start=1375466446; count=1000; groups_num=315; users_num=0; items_num=877
word=медведев; end_id=39447505_9093; time_start=1375466469; count=1000; groups_num=260; users_num=0; items_num=935
word=франция; end_id=345463_2377; time_start=1375466493; count=1000; groups_num=396; users_num=0; items_num=951
word=zoiberg; end_id=149493878_601; time_start=1375466528; count=1000; groups_num=184; users_num=0; items_num=885
word=путин; end_id=138669564_10788; time_start=1375466554; count=1000; groups_num=134; users_num=0; items_num=905
word=#франция; end_id=-54194548_277; time_start=1375466574; count=1000; groups_num=315; users_num=0; items_num=877
word=медведев; end_id=1096167_3046; time_start=1375466599; count=1000; groups_num=259; users_num=0; items_num=935
word=франция; end_id=-56596808_22; time_start=1375466623; count=1000; groups_num=394; users_num=0; items_num=950
word=zoiberg; end_id=-41686650_227; time_start=1375466657; count=1000; groups_num=192; users_num=0; items_num=908
word=путин; end_id=138669564_10788; time_start=1375466680; count=1000; groups_num=138; users_num=0; items_num=936
word=#франция; end_id=-54194548_277; time_start=1375466708; count=1000; groups_num=315; users_num=0; items_num=877
word=медведев; end_id=-56678908_10; time_start=1375466731; count=1000; groups_num=262; users_num=0; items_num=935
word=франция; end_id=152873629_1590; time_start=1375466753; count=1000; groups_num=390; users_num=0; items_num=947
word=zoiberg; end_id=177815453_179; time_start=1375466794; count=1000; groups_num=170; users_num=0; items_num=867
word=путин; end_id=847493_74088; time_start=1375466819; count=1000; groups_num=134; users_num=0; items_num=919
word=#франция; end_id=-54194548_277; time_start=1375466839; count=1000; groups_num=315; users_num=0; items_num=877
word=медведев; end_id=183695118_165; time_start=1375466862; count=1000; groups_num=265; users_num=0; items_num=933
word=франция; end_id=-52084647_3339; time_start=1375466886; count=1000; groups_num=392; users_num=0; items_num=948
word=zoiberg; end_id=4895449_10033; time_start=1375466921; count=1000; groups_num=166; users_num=0; items_num=875
word=путин; end_id=17001324_69977; time_start=1375466947; count=1000; groups_num=135; users_num=0; items_num=919
word=#франция; end_id=-54194548_277; time_start=1375466967; count=1000; groups_num=315; users_num=0; items_num=877
word=медведев; end_id=-15755094_2700020; time_start=1375466990; count=1000; groups_num=259; users_num=0; items_num=936
word=франция; end_id=11551438_1534; time_start=1375467013; count=1000; groups_num=386; users_num=0; items_num=946
word=zoiberg; end_id=214891026_109; time_start=1375467046; count=1000; groups_num=167; users_num=0; items_num=860
word=путин; end_id=-37498352_54019; time_start=1375467066; count=1000; groups_num=130; users_num=0; items_num=902
word=#франция; end_id=-42334971_751; time_start=1375467088; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=-13694977_146; time_start=1375467112; count=1000; groups_num=257; users_num=0; items_num=937
word=франция; end_id=158578643_2275; time_start=1375467141; count=1000; groups_num=391; users_num=0; items_num=946
word=zoiberg; end_id=2297691_105; time_start=1375467181; count=1000; groups_num=170; users_num=0; items_num=894
word=путин; end_id=165274994_134438; time_start=1375467206; count=1000; groups_num=131; users_num=0; items_num=904
word=#франция; end_id=-42334971_751; time_start=1375467227; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=-30044977_4318; time_start=1375467249; count=1000; groups_num=259; users_num=0; items_num=937
word=франция; end_id=104886739_3497; time_start=1375467273; count=1000; groups_num=394; users_num=0; items_num=946
word=zoiberg; end_id=732668_3154; time_start=1375467311; count=1000; groups_num=162; users_num=0; items_num=895
word=путин; end_id=-33567915_317575; time_start=1375467330; count=1000; groups_num=136; users_num=0; items_num=906
word=#франция; end_id=-42334971_751; time_start=1375467351; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=143130713_557; time_start=1375467375; count=1000; groups_num=256; users_num=0; items_num=937
word=франция; end_id=183686222_1346; time_start=1375467398; count=1000; groups_num=393; users_num=0; items_num=947
word=zoiberg; end_id=-41415769_33346; time_start=1375467434; count=1000; groups_num=160; users_num=0; items_num=894
word=путин; end_id=1594546_1337; time_start=1375467454; count=1000; groups_num=140; users_num=0; items_num=909
word=#франция; end_id=-42334971_751; time_start=1375467475; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=7475916_8888; time_start=1375467500; count=1000; groups_num=254; users_num=0; items_num=933
word=франция; end_id=-40528706_76769; time_start=1375467521; count=1000; groups_num=396; users_num=0; items_num=948
word=zoiberg; end_id=-55477409_199; time_start=1375467556; count=1000; groups_num=159; users_num=0; items_num=892
word=путин; end_id=-37169648_292233; time_start=1375467577; count=1000; groups_num=141; users_num=0; items_num=921
word=#франция; end_id=-42334971_751; time_start=1375467598; count=1000; groups_num=311; users_num=0; items_num=877
word=медведев; end_id=-23861864_877; time_start=1375467622; count=1000; groups_num=249; users_num=0; items_num=938
